,City,Country,Temperature,Max Temp,Humidity %,Cloudiness %,Wind Speed (mph),Latitude,Longitude
44,Busselton,AU,45.05,46.09,87,2,6.85,-33.65,115.3333
45,Ekenäs,FI,47.19,49.1,68,47,9.66,59.9736,23.4339
46,San Patricio,US,92.82,96.89,44,20,13.02,28.017,-97.5169
47,Mar del Plata,AR,53.62,53.62,71,0,11.5,-38.0023,-57.5575
48,Yellowknife,CA,59.25,59.25,65,78,18.5,62.456,-114.3525
49,Half Moon Bay,US,64.06,82.58,80,75,0.0,37.4636,-122.4286
50,Bonavista,CA,69.8,69.8,75,74,9.89,48.6499,-53.1147
51,Mapiripán,CO,85.59,85.59,67,95,3.13,2.8892,-72.1256
52,Kingsland,US,84.65,86.95,65,3,7.2,30.8,-81.6898
53,Sora,IT,68.31,73.85,83,81,3.78,41.7157,13.6141
54,Port Lincoln,AU,50.56,50.56,74,19,10.25,-34.7333,135.8667
55,Lima,PE,61.05,61.14,77,90,5.75,-12.0432,-77.0282
56,Ostrovnoy,RU,41.23,41.23,93,100,28.45,68.0531,39.5131
57,Chicama,PE,63.14,63.14,60,69,10.65,-7.8447,-79.1469
58,Makakilo City,US,79.14,80.92,60,1,10.36,21.3469,-158.0858
59,Hunchun,CN,55.69,55.69,92,33,2.01,42.8675,130.3581
60,Paraopeba,BR,87.15,87.35,18,0,3.18,-19.2757,-44.4033
61,Cootamundra,AU,43.95,43.95,96,78,7.2,-34.65,148.0333
62,Atuona,PF,77.86,77.86,74,97,18.14,-9.8,-139.0333
63,Torbay,CA,69.67,70.57,71,75,17.27,47.6666,-52.7314
64,New Port Richey,US,88.2,93.16,69,6,5.99,28.2442,-82.7193
65,Progreso,MX,87.12,87.91,61,91,13.53,21.2833,-89.6667
66,Cape Canaveral,US,86.29,91.26,71,1,10.36,28.4058,-80.6048
67,Pangoa,PE,89.56,89.56,42,36,4.92,-12.1167,-73.0
68,Manado,ID,75.97,75.97,94,40,1.14,1.487,124.8455
69,New Norfolk,AU,42.03,42.93,84,60,0.94,-42.7826,147.0587
70,Lorengau,PG,80.71,80.71,81,77,7.02,-2.0226,147.2712
71,Korla,CN,71.2,71.2,35,40,7.47,41.7597,86.1469
72,Bereda,ES,75.36,78.58,66,15,4.83,43.2686,-7.5406
73,Lompoc,US,67.06,81.1,74,1,5.75,34.6391,-120.4579
74,Mayo,US,76.87,82.08,60,1,1.99,38.8876,-76.5119
75,Ixtapa,MX,85.23,86.23,70,75,0.0,20.7,-105.2
76,Puerto Ayora,EC,72.55,78.76,86,98,10.0,-0.7393,-90.3518
77,Arona,ES,71.87,75.83,71,20,1.99,28.0996,-16.681
78,Carnarvon,AU,55.47,55.47,27,0,13.8,-24.8667,113.6333
79,Zhangaözen,KZ,65.98,65.98,35,0,8.16,43.3,52.8
80,Kaitangata,NZ,53.17,53.17,69,100,8.25,-46.2817,169.8464
81,Moyo,UG,64.27,64.27,95,87,2.59,3.6609,31.7247
82,Hofn,IS,54.14,54.14,86,100,16.44,64.2539,-15.2082
83,Upernavik,GL,36.57,36.57,99,100,13.8,72.7868,-56.1549
84,Bluff,NZ,49.8,49.8,91,100,9.64,-46.6,168.3333
85,Namtsy,RU,41.11,41.11,89,63,6.58,62.7161,129.6658
86,Thompson,CA,53.76,53.76,82,90,10.36,55.7435,-97.8558
87,Batagay,RU,29.52,29.52,80,2,0.56,67.6333,134.6333
88,Nanortalik,GL,44.02,44.02,78,14,14.88,60.1432,-45.2371
89,Ponta do Sol,PT,77.43,79.0,74,7,5.84,32.6667,-17.1
90,Laas,IT,66.78,68.88,90,94,1.01,46.6166,10.7002
91,Hilo,US,76.44,78.53,77,90,6.91,19.7297,-155.09
92,Provideniya,RU,39.54,39.54,72,25,2.89,64.3833,-173.3
93,Balfron,GB,60.94,62.87,82,100,3.8,56.0681,-4.3356
94,Uchkeken,RU,49.69,49.69,80,71,4.16,43.9378,42.5117
95,Katsuura,JP,69.82,69.82,92,100,13.04,35.1333,140.3
96,Sitka,US,57.09,57.09,88,75,3.44,57.0531,-135.33
97,Kavieng,PG,81.77,81.77,78,100,11.63,-2.5744,150.7967
98,Cortez,US,79.68,83.41,28,1,3.44,37.3489,-108.5859
99,Krasnosel'kup,RU,57.07,57.07,64,79,19.44,65.7,82.4667
100,Padang,ID,77.23,77.23,87,83,2.59,-0.9492,100.3543
101,Muros,ES,71.85,78.15,77,34,1.39,42.7762,-9.0603
102,Avarua,CK,71.65,71.65,88,75,8.05,-21.2078,-159.775
103,Moen,NO,43.52,44.67,93,40,0.0,69.1304,18.6123
104,Chifeng,CN,64.42,64.42,95,100,2.98,42.2683,118.9636
105,Port Blair,IN,80.58,80.58,84,100,18.86,11.6667,92.75
106,Kayes,ML,85.1,85.1,74,63,4.79,14.0,-11.0
107,Norman Wells,CA,60.84,60.84,82,40,6.91,65.282,-126.8329
108,Aklavik,CA,48.2,48.2,100,75,4.61,68.2191,-135.0107
109,Tura,IN,77.85,77.85,83,83,1.74,25.5198,90.2201
110,Copiapó,CL,60.49,60.49,24,0,7.81,-27.3667,-70.3333
111,Faanui,PF,78.58,78.58,74,8,12.19,-16.4833,-151.75
112,Manta,EC,80.38,80.38,74,40,12.66,-0.95,-80.7333
113,Tasiilaq,GL,46.56,46.56,79,95,2.95,65.6145,-37.6368
114,Cabo San Lucas,MX,90.43,92.17,51,1,0.0,22.8909,-109.9124
115,Port Elizabeth,ZA,62.89,62.89,82,0,11.5,-33.918,25.5701
116,San Miguel de Tucumán,AR,78.8,78.8,53,0,4.61,-26.8241,-65.2226
117,Huarmey,PE,68.86,68.86,70,76,10.02,-10.0681,-78.1522
118,Rajanpur,PK,94.82,94.82,32,4,6.91,29.1035,70.325
119,Port Alfred,ZA,64.38,64.38,81,16,18.92,-33.5906,26.891
120,Dunedin,NZ,50.65,50.65,70,100,4.88,-45.8742,170.5036
121,Lagoa,PT,69.64,69.64,72,49,21.85,39.05,-27.9833
122,Richards Bay,ZA,68.7,68.7,76,56,7.4,-28.783,32.0377
123,Ciudad Bolivar,VE,85.96,85.96,64,99,5.37,8.1222,-63.5497
124,Truckee,US,73.33,81.52,30,1,0.0,39.328,-120.1833
125,Constantine,DZ,81.81,81.81,57,20,8.05,36.365,6.6147
126,Bandarbeyla,SO,76.84,76.84,84,10,34.23,9.4942,50.8122
127,Phan Thiet,VN,76.03,76.03,94,100,9.93,10.9333,108.1
128,Lüderitz,NA,55.63,55.63,79,0,16.22,-26.6481,15.1594
129,Saskylakh,RU,41.52,41.52,89,99,9.04,71.9167,114.0833
130,Izhma,RU,46.17,46.17,83,100,5.68,65.0083,53.9113
131,Lázaro Cárdenas,MX,84.56,84.56,70,100,3.02,17.9583,-102.2
132,Hithadhoo,MV,83.39,83.39,69,90,5.95,-0.6,73.0833
133,Jiaocheng,CN,76.12,76.12,93,84,1.25,24.6774,116.1389
134,Doctor Juan León Mallorquín,PY,78.53,78.53,25,52,3.83,-25.4,-55.2667
135,Pervomayskoye,RU,63.25,63.25,68,54,8.84,43.919,46.7102
136,Maniitsoq,GL,42.03,42.03,78,89,9.57,65.4167,-52.9
137,Mount Isa,AU,58.77,58.77,72,90,13.8,-20.7333,139.5
138,Fortuna,US,61.72,61.72,77,1,5.75,40.5982,-124.1573
139,Tabora,TZ,76.96,76.96,24,66,4.68,-5.0167,32.8
140,Lagdo,CM,73.72,73.72,89,94,3.6,9.05,13.7333
141,Kahului,US,77.41,78.82,74,40,14.97,20.8947,-156.47
142,Bowen,AU,65.41,65.41,88,9,8.86,-20.0167,148.2333
143,Ilulissat,GL,37.42,37.42,87,75,4.61,69.2167,-51.1
144,Lebu,CL,54.73,54.73,73,95,16.71,-37.6167,-73.65
145,Pahrump,US,90.27,95.25,8,0,1.01,36.2083,-115.9839
146,Mildura,AU,42.76,42.76,93,5,5.75,-34.2,142.15
147,Magdagachi,RU,57.96,57.96,98,100,4.83,53.45,125.8
148,Kununurra,AU,78.78,78.78,69,90,12.66,-15.7667,128.7333
149,Limbe,CM,76.5,76.5,84,84,7.83,4.0242,9.2149
150,Miyazu,JP,68.27,68.27,92,100,2.64,35.5333,135.1833
151,Esfarāyen,IR,74.86,74.86,48,28,7.05,37.0765,57.5101
152,Maceió,BR,83.64,83.64,65,40,8.05,-9.6658,-35.7353
153,Qarqīn,AF,85.51,85.51,9,0,9.71,37.4185,66.0436
154,Lata,PT,71.13,84.04,42,20,5.48,40.1629,-8.3327
155,Ulkan,RU,43.7,43.7,66,82,8.08,57.243,107.3223
156,Iqaluit,CA,47.93,47.93,46,75,4.61,63.7506,-68.5145
157,Chokurdakh,RU,32.5,32.5,70,100,15.48,70.6333,147.9167
158,Vestmannaeyjar,IS,56.39,56.39,88,90,18.41,63.4427,-20.2734
159,Cidreira,BR,63.82,63.82,67,3,7.67,-30.1811,-50.2056
160,San Joaquin,US,78.15,84.34,48,1,5.75,37.9333,-121.3011
161,Matagami,CA,64.51,64.51,72,1,5.75,49.7502,-77.6328
162,Gander,CA,64.53,68.38,94,75,9.22,48.9682,-54.5906
163,Flinders,AU,58.6,61.21,95,100,1.01,-34.5833,150.8552
164,Bonthe,SL,77.63,77.63,83,100,11.23,7.5264,-12.505
165,Myronivka,UA,54.3,54.3,50,84,4.81,49.6601,30.9823
166,Lavrentiya,RU,37.62,37.62,77,69,3.29,65.5833,-171.0
167,Inuvik,CA,47.21,50.04,100,90,1.14,68.3499,-133.7218
168,Arraial do Cabo,BR,75.06,76.96,83,0,11.5,-22.9661,-42.0278
169,Severomuysk,RU,32.4,32.4,100,100,4.76,56.1481,113.4267
170,Banjar,ID,78.66,78.66,91,100,6.69,-8.19,114.9675
171,Dingle,PH,75.42,75.42,96,85,1.79,10.9995,122.6711
172,Shingū,JP,75.9,75.9,89,100,2.55,33.7333,135.9833
173,Khovd,MN,55.29,55.29,46,74,3.02,48.0056,91.6419
174,Puerto Ayacucho,VE,88.34,88.34,59,66,1.63,5.6639,-67.6236
175,Aswān,EG,98.53,98.53,20,3,18.92,24.0934,32.907
176,Anloga,GH,73.62,73.62,87,99,13.06,5.7947,0.8973
177,Tsiroanomandidy,MG,66.88,66.88,51,2,11.88,-18.7667,46.0333
178,Hillsboro,US,72.28,77.52,47,1,0.0,45.5229,-122.9898
179,Esperance,AU,47.3,47.3,81,1,7.56,-33.8667,121.9
180,Dikson,RU,45.66,45.66,89,68,35.84,73.5069,80.5464
181,Saint George,US,88.43,95.47,27,1,3.0,37.1041,-113.5841
182,Codrington,AU,45.81,45.81,82,22,10.29,-38.2667,141.9667
183,Chapais,CA,65.98,65.98,27,59,2.75,49.7834,-74.8492
184,Pandamatenga,BW,74.89,74.89,31,23,4.83,-18.5278,25.627
185,San Ramon,US,69.62,82.45,53,1,1.99,37.7799,-121.978
186,Capesterre-Belle-Eau,GP,87.82,87.82,70,43,15.5,16.0432,-61.566
187,Ahipara,NZ,52.02,52.02,71,71,6.76,-35.1667,173.1667
188,Tuktoyaktuk,CA,44.6,44.6,100,90,6.91,69.4541,-133.0374
189,Nyurba,RU,32.7,32.7,81,2,0.87,63.2842,118.3319
190,Kapustin Yar,RU,61.84,61.84,58,84,7.09,48.5831,45.7372
191,Shelburne,CA,73.13,75.74,39,40,9.53,44.0787,-80.2041
192,Barberton,ZA,66.25,66.25,59,0,2.86,-25.7884,31.0532
193,Caravelas,BR,79.63,79.63,67,52,7.87,-17.7125,-39.2481
194,Bambous Virieux,MU,71.85,71.85,64,40,12.66,-20.3428,57.7575
195,Ouadda,CF,69.73,69.73,97,100,3.67,8.0777,22.4007
196,Talnakh,RU,50.31,50.31,90,100,15.01,69.4865,88.3972
197,Tiksi,RU,38.12,38.12,65,99,20.58,71.6872,128.8694
198,Ossipee,US,73.47,78.76,46,0,5.01,43.6854,-71.1167
199,Grand Gaube,MU,71.38,72.0,67,16,8.01,-20.0064,57.6608
200,Kachīry,KZ,61.56,61.56,39,39,8.75,53.0675,76.1036
201,Walvis Bay,NA,54.55,56.08,82,4,9.22,-22.9575,14.5053
202,Poum,NC,69.51,69.51,70,6,5.21,-20.2333,164.0167
203,Charters Towers,AU,61.02,61.02,91,20,6.29,-20.1,146.2667
204,Machalí,CL,61.88,61.88,48,1,8.05,-34.1833,-70.6667
205,Prince Rupert,CA,58.51,59.09,91,90,18.41,54.3161,-130.3201
206,Palmer,US,74.66,78.44,52,40,3.0,42.1584,-72.3287
207,Puerto del Rosario,ES,74.95,74.95,78,0,6.91,28.5004,-13.8627
208,La Ronge,CA,57.45,59.22,58,75,9.22,55.1001,-105.2842
209,Barrow,US,37.42,37.42,87,75,26.46,71.2906,-156.7887
210,Artemivka,UA,52.14,52.14,42,37,6.42,49.8406,36.0417
211,Comarapa,BO,71.55,71.55,55,46,8.19,-17.9,-64.4833
212,Glenwood Springs,US,72.57,79.12,46,75,4.61,39.5505,-107.3248
213,Esim,GH,76.8,76.8,88,85,8.79,4.8699,-2.2405
214,Belaya Gora,RU,34.18,34.18,67,78,12.44,68.5333,146.4167
215,Pekan,MY,77.11,77.11,88,99,3.83,3.4836,103.3996
216,Hualmay,PE,67.19,67.19,72,72,10.4,-11.0964,-77.6139
217,Celestún,MX,85.37,85.37,67,45,11.54,20.8667,-90.4
218,Dromolaxia,CY,82.42,83.68,57,0,9.22,34.8761,33.586
219,Kruisfontein,ZA,56.88,56.88,93,16,1.72,-34.0033,24.7314
220,Den Helder,NL,62.51,64.98,77,1,13.8,52.9599,4.7593
221,Dzhebariki-Khaya,RU,38.62,38.62,83,80,3.91,62.2167,135.8
222,Loutrós,GR,75.09,76.89,74,75,6.04,40.5883,22.3994
223,Singapore,SG,80.98,82.26,82,75,4.61,1.2897,103.8501
224,Trincomalee,LK,80.69,80.69,76,60,20.47,8.5711,81.2335
225,Khatanga,RU,48.58,48.58,83,100,11.3,71.9667,102.5
226,Ormara,PK,80.19,80.19,89,96,12.93,25.2088,64.6357
227,Clyde River,CA,44.83,44.83,81,20,8.05,70.4692,-68.5914
228,Safakulevo,RU,56.26,56.26,68,8,11.65,54.9901,62.5442
229,Cap Malheureux,MU,71.47,72.09,67,12,8.01,-19.9842,57.6142
230,Abhā,SA,68.25,71.42,78,0,0.0,18.2164,42.5053
231,Sirte,LY,80.42,80.42,63,0,12.95,31.2089,16.5887
232,Kuito,AO,68.59,68.59,23,37,2.46,-12.3833,16.9333
233,San Cristobal,VE,80.78,80.78,39,5,8.79,7.7669,-72.225
234,Berea,US,76.3,79.05,55,75,9.22,41.3662,-81.8543
235,Réo,BF,87.75,87.75,51,7,6.24,12.3167,-2.4667
236,Kondinskoye,RU,72.36,72.36,34,92,21.97,59.6481,67.41
237,Sheoganj,IN,82.72,82.72,70,100,6.49,25.15,73.0667
238,Leningradskiy,RU,31.57,31.57,93,100,2.73,69.3833,178.4167
239,Oussouye,SN,80.69,84.38,70,76,5.88,12.485,-16.5469
240,Humaitá,BR,98.11,98.11,31,40,3.6,-7.5061,-63.0208
241,Nānākuli,US,80.2,82.35,59,1,10.36,21.3906,-158.1547
242,Deputatsky,RU,25.21,25.21,90,16,4.05,69.3,139.9
243,Horsham,GB,63.99,67.5,78,0,10.36,51.064,-0.3272
244,Boffa,GN,78.85,78.85,80,96,8.08,10.1667,-14.0333
245,Xam Nua,LA,66.45,66.45,99,75,1.45,20.4197,104.0439
246,Adrar,MR,103.98,103.98,15,8,6.76,20.5022,-10.0711
247,Tazmalt,DZ,85.69,85.69,48,0,6.15,36.3868,4.3989
248,Kavaratti,IN,80.98,80.98,81,94,17.25,10.5669,72.642
249,Nikolskoye,RU,48.09,48.09,83,92,7.47,59.7035,30.7861
250,Boyolangu,ID,72.75,72.75,92,99,4.32,-8.1181,111.8935
251,Kimbe,PG,74.05,74.05,92,42,5.21,-5.5502,150.1429
252,Zhireken,RU,57.6,57.6,96,100,7.4,52.8249,117.3076
253,Presidencia Roque Sáenz Peña,AR,87.4,87.4,38,80,3.51,-26.7852,-60.4388
254,Ville-Marie,CA,68.0,68.0,60,100,7.05,47.3335,-79.433
255,Rawlins,US,66.25,70.23,30,1,16.11,41.7911,-107.2387
256,Sanguéya,GN,78.19,78.19,85,100,7.63,10.7,-14.3667
257,Poso,ID,76.17,76.17,86,100,3.98,-1.3959,120.7524
258,Palafrugell,ES,73.85,75.42,92,29,8.25,41.9174,3.1631
259,Castro,BR,83.44,83.44,29,8,6.15,-24.7911,-50.0119
260,Oktyabr'skiy,RU,46.85,46.85,76,67,8.77,54.4815,53.471
261,Dzaoudzi,YT,78.69,78.69,78,90,8.05,-12.7887,45.2699
262,Burayevo,RU,48.78,48.78,68,76,11.81,55.8407,55.4083
263,Grindavik,IS,54.07,55.35,94,90,33.38,63.8424,-22.4338
264,Kaeo,NZ,49.32,49.32,92,88,6.91,-35.1,173.7833
265,Monaghan,IE,60.39,60.82,83,99,8.39,54.25,-6.9667
266,Mirny,RU,34.81,34.81,74,0,0.63,62.5353,113.9611
267,Kutum,SD,72.14,72.14,72,96,6.76,14.2,24.6667
268,Rocha,UY,61.0,61.0,62,0,10.16,-34.4833,-54.3333
269,Oodweyne,SO,80.96,80.96,45,90,9.19,9.4092,45.064
270,Lossiemouth,GB,60.48,61.93,70,75,4.61,57.7214,-3.2834
271,Kintampo,GH,74.84,74.84,88,100,1.39,8.0563,-1.7306
272,Bryan,US,91.92,95.13,54,75,5.75,30.6744,-96.37
273,Yeppoon,AU,62.38,62.38,86,2,5.99,-23.1333,150.7333
274,Bengkulu,ID,74.39,74.39,90,46,8.28,-3.8004,102.2655
275,Turukhansk,RU,54.21,54.21,70,100,20.07,65.8167,87.9833
276,Quatre Cocos,MU,71.1,71.71,68,28,21.03,-20.2078,57.7625
277,Aguadilla,PR,89.53,95.11,74,1,1.99,18.4275,-67.1541
278,Portalegre,PT,84.79,88.92,24,25,2.84,39.2938,-7.4312
279,Cascas,PE,91.18,91.18,50,55,11.18,-7.4833,-78.8167
280,Hasaki,JP,68.4,68.4,89,100,21.12,35.7333,140.8333
281,Tiznit Province,MA,86.09,86.09,34,0,5.44,29.5833,-9.5
282,Şabyā,SA,92.82,92.82,50,68,3.15,17.1495,42.6254
283,Coyhaique,CL,53.55,53.55,58,75,4.61,-45.5752,-72.0662
284,Mossamedes,AO,65.43,65.43,93,28,10.18,-15.1961,12.1522
285,North Bend,US,67.87,74.25,63,1,5.75,43.4065,-124.2243
286,Isangel,VU,69.24,69.24,84,4,8.55,-19.55,169.2667
287,Dābhol,IN,76.17,76.17,90,99,3.83,17.6,73.1667
288,San Rafael del Sur,NI,88.77,88.77,60,94,9.17,11.8485,-86.4384
289,Pevek,RU,35.65,35.65,98,100,7.9,69.7008,170.3133
290,Niquero,CU,87.46,87.46,62,27,4.85,20.0431,-77.5828
291,Yar-Sale,RU,53.28,53.28,80,97,12.57,66.8333,70.8333
292,Ranong,TH,78.96,78.96,85,99,8.03,9.9658,98.6348
293,Tommot,RU,44.01,44.01,97,100,5.91,58.9564,126.2925
294,Daye,CN,77.49,77.49,77,100,3.58,30.0833,114.95
295,Saldanha,ZA,53.65,53.65,81,65,9.55,-33.0117,17.9442
296,Atar,MR,107.38,107.38,13,51,11.52,20.5169,-13.0499
297,Henties Bay,NA,55.85,55.85,85,9,10.25,-22.116,14.2845
298,Coahuayana Viejo,MX,87.28,87.28,70,100,0.96,18.7333,-103.6833
299,Verkh-Chebula,RU,50.36,50.36,57,0,12.28,56.0308,87.6218
300,Canguçu,BR,61.81,61.81,58,18,9.44,-31.395,-52.6756
301,Pacific Grove,US,63.12,84.16,80,1,5.01,36.6177,-121.9166
302,Tūkrah,LY,77.67,77.67,64,0,6.87,32.5341,20.5791
303,Sittwe,MM,80.42,80.42,87,72,8.99,20.15,92.9
304,Nishihara,JP,81.68,82.06,89,20,5.75,26.1842,127.7558
305,Zyryanka,RU,39.47,39.47,69,100,16.28,65.75,150.85
306,Yendi,GH,77.36,77.36,89,98,4.09,9.4427,-0.0099
307,Seka,TH,73.76,73.76,96,100,6.17,17.9285,103.9552
308,Houma,US,90.03,91.4,47,20,3.98,29.5958,-90.7195
309,Hambantota,LK,77.34,77.34,100,75,8.05,6.1241,81.1185
310,Port-Gentil,GA,76.96,76.96,83,40,10.36,-0.7193,8.7815
311,Luanda,AO,73.4,73.4,83,0,6.91,-8.8368,13.2343
312,Bilma,NE,95.88,95.88,14,8,3.49,18.6853,12.9164
313,Shaunavon,CA,73.18,73.18,28,4,3.31,49.6501,-108.4181
314,Westport,US,76.53,80.89,56,40,1.99,41.1415,-73.3579
315,Havelock,US,79.84,82.98,55,1,4.0,34.8791,-76.9013
316,Lufilufi,WS,74.98,74.98,70,100,10.74,-13.8745,-171.5986
317,Banda Aceh,ID,79.05,79.05,79,98,3.94,5.5577,95.3222
318,Erenhot,CN,55.8,55.8,66,10,16.08,43.6475,111.9767
319,Storforshei,NO,46.65,46.65,76,100,3.74,66.4043,14.5233
320,Ancud,CL,49.53,52.43,92,100,13.71,-41.8697,-73.8203
321,Geraldton,AU,45.01,45.01,81,0,9.22,-28.7667,114.6
322,Faya,SA,68.52,71.71,26,64,10.2,18.3851,42.4509
323,Jiangyou,CN,72.0,72.0,89,100,4.36,31.7667,104.7167
324,Hong Kong,HK,85.33,86.32,80,7,8.16,22.2855,114.1577
325,Corinth,GR,78.84,79.9,60,23,4.36,37.9407,22.9573
326,Mathbaria,BD,81.64,81.64,86,85,4.5,22.2876,89.9593
327,Balgazyn,RU,43.86,43.86,65,44,3.22,51.0,95.2
328,Madimba,TZ,72.45,72.45,83,19,8.43,-10.4,40.3333
329,Gazli,UZ,80.85,80.85,32,0,21.39,40.1333,63.45
330,Raudeberg,NO,50.07,54.27,83,42,2.93,61.9875,5.1352
331,Pailón,BO,92.3,92.88,24,16,16.42,-17.65,-62.75
332,Vila Nova de Milfontes,PT,70.25,70.25,60,7,5.77,37.7238,-8.7828
333,Hunucmá,MX,87.1,87.89,51,92,7.78,21.0167,-89.8667
334,Natá,PA,76.87,76.87,71,97,3.65,8.3333,-80.5167
335,Goderich,CA,72.03,75.04,60,62,9.22,43.7501,-81.7165
336,Wyszków,PL,57.74,61.21,61,60,4.76,52.5928,21.4584
337,Paka,MY,75.13,75.13,100,72,0.0,4.6374,103.4368
338,Lethem,GY,89.02,89.02,56,86,2.98,3.3803,-59.7968
339,Dhidhdhoo,MV,81.37,81.37,78,94,14.88,6.8833,73.1
340,Coxim,BR,103.89,103.89,17,9,1.66,-18.5067,-54.76
341,Eureka,US,58.51,61.99,80,0,3.0,40.8021,-124.1637
342,Racale,IT,73.83,75.07,56,35,7.36,39.9631,18.0938
343,Road Town,VG,87.82,87.84,100,40,10.36,18.4167,-64.6167
344,Kiunga,PG,73.44,73.44,99,97,2.42,-6.1219,141.2906
345,Invermere,CA,69.82,69.82,37,56,5.3,50.5167,-116.0354
346,Ferme-Neuve,CA,67.78,67.78,39,55,2.21,46.7001,-75.4493
347,Xichang,CN,67.12,67.12,94,99,1.32,27.8964,102.2634
348,Jalu,LY,86.88,86.88,27,0,6.29,29.0331,21.5482
349,Tagāb,AF,76.62,76.62,20,0,6.33,34.855,69.6492
350,Ballina,AU,59.4,60.76,82,73,6.91,-28.8667,153.5667
351,Eyl,SO,77.59,77.59,81,11,24.54,7.9803,49.8164
352,Bambamarca,PE,74.97,74.97,45,70,8.72,-6.6833,-78.5333
353,Arlit,NE,99.07,99.07,11,9,6.58,18.7369,7.3853
354,Saint-Pierre,RE,69.87,71.28,78,75,25.32,-21.3393,55.4781
355,Anadyr,RU,46.9,46.9,76,75,11.18,64.75,177.4833
356,Igarka,RU,53.87,53.87,74,100,20.11,67.4667,86.5833
357,Asnæs,DK,57.54,59.9,70,28,4.0,55.8123,11.5013
358,Leiyang,CN,81.07,81.07,75,98,4.94,26.4024,112.8591
359,Yacuiba,BO,90.95,90.95,33,16,7.9,-22.038,-63.6797
360,Cherskiy,RU,38.35,38.35,96,100,21.65,68.75,161.3
361,Curuçá,BR,81.81,81.81,82,97,8.81,-0.7289,-47.8481
362,Abong Mbang,CM,67.68,67.68,98,95,2.24,3.9833,13.1833
363,Yuanping,CN,58.5,58.5,96,39,1.99,38.7153,112.7575
364,Vardø,NO,42.48,42.48,75,98,30.56,70.3705,31.1107
365,Salalah,OM,80.69,80.69,89,90,6.91,17.0151,54.0924
366,Felanitx,ES,77.67,80.96,65,30,6.08,39.4696,3.1483
